timestamp,vehicle_type,planned_output,actual_output,priority,shift_factor,hour_factor,production_execution_error,machine_load,material_supply_status,changeover_progress,order_pressure,line_congestion
2026-01-02 23:00:00,C车型,10,9,1,1.0,1.0,-1.4574,0.9105,0.9132,0.0,0.9966,0.2426
2026-01-03 00:00:00,C车型,10,8,3,0.97,1.0,-1.6044,0.88,0.9101,0.3,0.9841,0.2233
2026-01-03 01:00:00,B车型,15,12,3,0.97,0.98,-1.8922,0.896,0.9312,1.0,0.9869,0.2109
2026-01-03 02:00:00,C车型,10,7,1,0.97,0.98,-2.2718,0.8411,0.931,1.0,0.9834,0.1709
2026-01-03 03:00:00,A车型,20,17,2,0.97,0.98,-2.0938,0.8318,0.9521,1.0,0.9734,0.1819
2026-01-03 04:00:00,B车型,15,12,3,0.97,0.98,-2.4557,0.8157,0.9609,1.0,0.9742,0.1483
2026-01-03 05:00:00,B车型,15,12,1,0.97,0.98,-2.5017,0.8185,0.9511,0.4,0.9855,0.1532
2026-01-03 06:00:00,B车型,15,13,3,0.97,1.0,-1.9121,0.7843,0.955,0.3,0.9913,0.1329
2026-01-03 07:00:00,A车型,20,17,1,0.97,1.0,-2.173,0.7853,0.9552,1.0,0.9875,0.149
2026-01-03 08:00:00,C车型,10,8,2,1.02,1.0,-2.3485,0.7923,0.9638,1.0,0.984,0.1321
2026-01-03 09:00:00,C车型,10,9,3,1.02,1.015,-1.5589,0.7852,0.964,0.4,0.9792,0.1477
2026-01-03 10:00:00,B车型,15,14,2,1.02,1.015,-1.8171,0.7811,0.9593,1.0,0.9784,0.1604
2026-01-03 11:00:00,B车型,15,14,1,1.02,1.015,-1.7347,0.7591,0.9506,0.4,0.9704,0.1301
2026-01-03 12:00:00,B车型,15,14,3,1.02,1.0,-1.6163,0.7463,0.9656,0.0,0.9625,0.1855
2026-01-03 13:00:00,B车型,15,15,1,1.02,1.0,-0.3685,0.7609,0.9506,0.0,0.9576,0.1904
2026-01-03 14:00:00,B车型,15,15,2,1.02,1.02,-0.3919,0.7572,0.9529,0.3,0.9455,0.1672
2026-01-03 15:00:00,A车型,20,20,3,1.02,1.02,-1.2033,0.7559,0.9633,1.0,0.9392,0.1661
2026-01-03 16:00:00,C车型,10,8,1,1.0,1.02,-1.9259,0.7625,0.9692,1.0,0.9444,0.1798
2026-01-03 17:00:00,C车型,10,8,1,1.0,1.0,-1.7751,0.7266,0.9696,0.4,0.9382,0.1556
2026-01-03 18:00:00,C车型,10,10,3,1.0,1.0,-0.2579,0.7305,0.964,0.0,0.9486,0.1648
2026-01-03 19:00:00,C车型,10,10,1,1.0,1.0,-0.4835,0.728,0.9721,0.0,0.9824,0.1514
2026-01-03 20:00:00,C车型,10,10,3,1.0,1.0,-0.3595,0.737,0.9817,0.0,1.0197,0.1376
2026-01-03 21:00:00,C车型,10,10,1,1.0,1.0,-0.2475,0.7453,0.9878,0.3,1.0448,0.104
2026-01-03 22:00:00,B车型,15,14,2,1.0,1.0,-1.062,0.7445,0.9835,1.0,1.0641,0.1383
2026-01-03 23:00:00,C车型,10,8,3,1.0,1.0,-2.0134,0.7634,0.9689,1.0,1.0767,0.1469
2026-01-04 00:00:00,A车型,20,16,1,0.97,1.0,-3.1553,0.7707,0.9698,1.0,1.0806,0.1506
2026-01-04 01:00:00,A车型,20,16,2,0.97,0.98,-2.8734,0.764,0.9726,0.4,1.076,0.1626
2026-01-04 02:00:00,B车型,15,11,2,0.97,0.98,-2.8926,0.7592,0.9777,1.0,1.0776,0.1699
2026-01-04 03:00:00,B车型,15,12,1,0.97,0.98,-2.126,0.7519,0.9766,0.4,1.0748,0.1552
2026-01-04 04:00:00,B车型,15,12,3,0.97,0.98,-2.1602,0.7594,0.9737,0.3,1.0818,0.179
2026-01-04 05:00:00,C车型,10,7,2,0.97,0.98,-2.7352,0.7659,0.9697,1.0,1.0731,0.2215
2026-01-04 06:00:00,C车型,10,7,1,0.97,1.0,-2.4323,0.7614,0.9628,0.4,1.0789,0.2276
2026-01-04 07:00:00,B车型,15,12,1,0.97,1.0,-2.7186,0.7707,0.9505,1.0,1.0737,0.2317
2026-01-04 08:00:00,B车型,15,13,2,1.02,1.0,-2.138,0.802,0.9472,0.4,1.0764,0.1948
2026-01-04 09:00:00,A车型,20,18,1,1.02,1.015,-2.6602,0.8155,0.9534,1.0,1.0812,0.1707
2026-01-04 10:00:00,A车型,20,19,2,1.02,1.015,-2.1346,0.8353,0.9574,0.4,1.0768,0.1203
2026-01-04 11:00:00,A车型,20,19,2,1.02,1.015,-1.698,0.8594,0.9669,0.3,1.0849,0.1514
2026-01-04 12:00:00,C车型,10,8,1,1.02,1.0,-2.1195,0.8804,0.9705,1.0,1.0803,0.1672
2026-01-04 13:00:00,B车型,15,13,3,1.02,1.0,-2.7796,0.8858,0.9725,1.0,1.073,0.1708
2026-01-04 14:00:00,B车型,15,14,2,1.02,1.02,-1.8217,0.9038,0.9568,0.4,1.0766,0.1838
2026-01-04 15:00:00,B车型,15,14,3,1.02,1.02,-1.2133,0.8879,0.9639,0.3,1.0637,0.1527
2026-01-04 16:00:00,A车型,20,19,1,1.0,1.02,-1.8894,0.8976,0.9438,1.0,1.0432,0.1223
2026-01-04 17:00:00,A车型,20,19,2,1.0,1.0,-0.9552,0.917,0.9294,0.4,1.0344,0.1436
2026-01-04 18:00:00,A车型,20,19,3,1.0,1.0,-1.2061,0.9178,0.9132,0.0,1.0203,0.1141
2026-01-04 19:00:00,A车型,20,20,3,1.0,1.0,-0.3813,0.8976,0.9099,0.0,1.0273,0.115
2026-01-04 20:00:00,A车型,20,20,3,1.0,1.0,-0.4661,0.9345,0.9434,0.0,1.034,0.1273
2026-01-04 21:00:00,A车型,20,20,2,1.0,1.0,-0.2137,0.937,0.9524,0.0,1.0249,0.1377
2026-01-04 22:00:00,A车型,20,20,3,1.0,1.0,0.1804,0.9345,0.9544,0.0,1.0189,0.131
2026-01-04 23:00:00,A车型,20,19,2,1.0,1.0,-0.5119,0.9496,0.9492,0.3,1.0183,0.1704
2026-01-05 00:00:00,C车型,10,8,1,0.97,1.0,-1.9691,0.9451,0.9582,1.0,0.9966,0.114
2026-01-05 01:00:00,C车型,10,8,3,0.97,0.98,-1.4939,0.9349,0.9658,0.4,0.9879,0.1544
2026-01-05 02:00:00,C车型,10,8,3,0.97,0.98,-1.226,0.9311,0.9623,0.3,0.9789,0.1207
2026-01-05 03:00:00,B车型,15,12,3,0.97,0.98,-2.4939,0.9186,0.9607,1.0,0.9688,0.2595
2026-01-05 04:00:00,B车型,15,12,2,0.97,0.98,-2.5017,0.9141,0.9361,0.4,0.967,0.3438
2026-01-05 05:00:00,B车型,15,12,2,0.97,0.98,-2.7077,0.9253,0.9513,0.0,0.9582,0.2969
2026-01-05 06:00:00,B车型,15,12,2,0.97,1.0,-2.8283,0.9105,0.9151,0.3,0.963,0.2634
2026-01-05 07:00:00,A车型,20,16,3,0.97,1.0,-3.4767,0.9478,0.8945,1.0,0.9607,0.2178
2026-01-05 08:00:00,B车型,15,12,3,1.02,1.0,-3.2906,0.9382,0.9023,1.0,0.9616,0.2207
2026-01-05 09:00:00,B车型,15,12,2,1.02,1.015,-3.047,0.9476,0.897,0.4,0.9552,0.206
2026-01-05 10:00:00,B车型,15,13,2,1.02,1.015,-2.5003,0.9702,0.8967,0.0,0.9555,0.1834
2026-01-05 11:00:00,B车型,15,14,1,1.02,1.015,-1.7044,0.9963,0.9102,0.0,0.9547,0.1407
2026-01-05 12:00:00,B车型,15,14,3,1.02,1.0,-1.564,0.9653,0.9263,0.0,0.9607,0.1779
2026-01-05 13:00:00,B车型,15,14,2,1.02,1.0,-1.7926,0.9457,0.9394,0.0,0.9592,0.2118
2026-01-05 14:00:00,B车型,15,14,1,1.02,1.02,-1.6011,0.9545,0.924,0.0,0.9585,0.2051
2026-01-05 15:00:00,B车型,15,15,1,1.02,1.02,-0.7553,0.9715,0.9161,0.0,0.9576,0.2012
2026-01-05 16:00:00,B车型,15,14,1,1.0,1.02,-1.2274,0.9685,0.8975,0.0,0.9609,0.1617
2026-01-05 17:00:00,B车型,15,14,1,1.0,1.0,-1.4165,0.9809,0.8722,0.0,0.9517,0.156
2026-01-05 18:00:00,B车型,15,13,1,1.0,1.0,-1.8625,0.9701,0.8936,0.0,0.9603,0.1631
2026-01-05 19:00:00,B车型,15,13,3,1.0,1.0,-2.4,0.9542,0.9025,0.0,0.9802,0.1739
2026-01-05 20:00:00,B车型,15,13,2,1.0,1.0,-2.3023,0.9624,0.9167,0.3,0.9809,0.1721
2026-01-05 21:00:00,C车型,10,7,3,1.0,1.0,-2.6515,0.966,0.9351,1.0,0.9786,0.1817
2026-01-05 22:00:00,B车型,15,12,1,1.0,1.0,-3.1519,0.9791,0.9339,1.0,0.9879,0.1627
2026-01-05 23:00:00,B车型,15,12,3,1.0,1.0,-3.1921,0.9803,0.9405,0.4,0.9934,0.1773
2026-01-06 00:00:00,A车型,20,16,1,0.97,1.0,-3.2029,0.9737,0.9482,1.0,0.9988,0.1924
2026-01-06 01:00:00,A车型,20,16,3,0.97,0.98,-2.8487,0.9522,0.9584,0.4,0.9924,0.2308
2026-01-06 02:00:00,A车型,20,17,2,0.97,0.98,-1.553,0.9656,0.9655,0.0,1.0025,0.2194
2026-01-06 03:00:00,A车型,20,18,2,0.97,0.98,-1.4808,0.9732,0.9579,0.0,0.9907,0.1787
2026-01-06 04:00:00,A车型,20,17,3,0.97,0.98,-1.7322,0.9578,0.9488,0.0,0.9972,0.181
2026-01-06 05:00:00,A车型,20,18,2,0.97,0.98,-0.773,0.9237,0.9647,0.0,0.9936,0.1348
2026-01-06 06:00:00,A车型,20,19,2,0.97,1.0,-0.879,0.9471,0.9623,0.0,0.9932,0.1541
2026-01-06 07:00:00,A车型,20,19,3,0.97,1.0,-0.4665,0.9153,0.9536,0.0,0.9942,0.2086
2026-01-06 08:00:00,A车型,20,19,3,1.02,1.0,-1.0029,0.9117,0.9568,0.0,0.9802,0.1635
2026-01-06 09:00:00,A车型,20,20,1,1.02,1.015,-0.5934,0.91,0.9509,0.0,0.992,0.1387
2026-01-06 10:00:00,A车型,20,20,1,1.02,1.015,-0.6207,0.8991,0.9605,0.0,1.001,0.1447
2026-01-06 11:00:00,A车型,20,19,1,1.02,1.015,-1.4608,0.8973,0.9672,0.0,0.9966,0.1576
2026-01-06 12:00:00,A车型,20,19,1,1.02,1.0,-1.2264,0.8903,0.9738,0.0,0.9921,0.189
2026-01-06 13:00:00,A车型,20,19,2,1.02,1.0,-1.2716,0.8739,0.9769,0.0,0.9804,0.1753
2026-01-06 14:00:00,A车型,20,20,2,1.02,1.02,-0.3932,0.9002,0.9791,0.3,0.9818,0.0966
2026-01-06 15:00:00,B车型,15,15,2,1.02,1.02,-0.8876,0.8862,0.9745,1.0,0.9911,0.157
2026-01-06 16:00:00,C车型,10,9,2,1.0,1.02,-1.5634,0.864,0.9762,1.0,0.9985,0.1526
2026-01-06 17:00:00,A车型,20,17,2,1.0,1.0,-2.699,0.851,0.964,1.0,1.0108,0.1639
2026-01-06 18:00:00,A车型,20,17,1,1.0,1.0,-2.5137,0.8393,0.9679,0.4,1.0003,0.1795
2026-01-06 19:00:00,B车型,15,12,2,1.0,1.0,-2.9403,0.8297,0.9646,1.0,1.0147,0.1954
2026-01-06 20:00:00,B车型,15,13,1,1.0,1.0,-2.4391,0.8325,0.9698,0.4,1.022,0.2077
2026-01-06 21:00:00,B车型,15,14,3,1.0,1.0,-1.4563,0.8309,0.984,0.0,1.0146,0.1882
2026-01-06 22:00:00,B车型,15,14,1,1.0,1.0,-1.0369,0.8332,0.9655,0.0,1.016,0.1839
2026-01-06 23:00:00,B车型,15,13,3,1.0,1.0,-1.5526,0.8433,0.9624,0.3,1.0206,0.1931
2026-01-07 00:00:00,A车型,20,18,1,0.97,1.0,-1.8689,0.8424,0.9696,1.0,1.0162,0.2453
2026-01-07 01:00:00,A车型,20,18,1,0.97,0.98,-1.3379,0.8339,0.9564,0.4,1.0148,0.2163
2026-01-07 02:00:00,A车型,20,18,2,0.97,0.98,-1.1252,0.8431,0.9526,0.3,1.0096,0.253
2026-01-07 03:00:00,C车型,10,7,3,0.97,0.98,-2.0378,0.8376,0.9538,1.0,1.0028,0.2228
2026-01-07 04:00:00,C车型,10,7,3,0.97,0.98,-2.0219,0.8282,0.9589,0.4,0.9953,0.2334
2026-01-07 05:00:00,C车型,10,8,1,0.97,0.98,-1.9198,0.8013,0.9637,0.0,1.0008,0.2076
2026-01-07 06:00:00,C车型,10,9,3,0.97,1.0,-1.1634,0.7944,0.9722,0.0,0.9997,0.2357
2026-01-07 07:00:00,C车型,10,9,1,0.97,1.0,-0.6436,0.7908,0.9641,0.0,0.9989,0.2051
2026-01-07 08:00:00,C车型,10,10,3,1.02,1.0,-0.5449,0.8135,0.9532,0.0,1.0079,0.1484
2026-01-07 09:00:00,C车型,10,10,1,1.02,1.015,-0.4492,0.8304,0.9486,0.0,1.0114,0.1608
2026-01-07 10:00:00,C车型,10,10,3,1.02,1.015,-0.153,0.8064,0.9576,0.0,1.0111,0.1374
2026-01-07 11:00:00,C车型,10,10,2,1.02,1.015,-0.4832,0.7959,0.9456,0.3,1.0029,0.1735
2026-01-07 12:00:00,A车型,20,19,3,1.02,1.0,-1.5323,0.7963,0.9505,1.0,1.0047,0.1428
2026-01-07 13:00:00,A车型,20,19,3,1.02,1.0,-1.5313,0.7796,0.9556,0.4,0.9923,0.1347
2026-01-07 14:00:00,A车型,20,20,1,1.02,1.02,-1.287,0.7661,0.9554,0.3,0.9926,0.168
2026-01-07 15:00:00,C车型,10,8,3,1.02,1.02,-1.9401,0.7662,0.9609,1.0,1.0018,0.1621
2026-01-07 16:00:00,B车型,15,13,3,1.0,1.02,-1.8271,0.7814,0.9789,1.0,1.0143,0.1587
2026-01-07 17:00:00,B车型,15,13,3,1.0,1.0,-1.759,0.8096,0.986,0.4,1.019,0.1631
2026-01-07 18:00:00,C车型,10,8,1,1.0,1.0,-1.9727,0.813,0.9682,1.0,1.0073,0.1423
2026-01-07 19:00:00,C车型,10,8,2,1.0,1.0,-1.7298,0.8301,0.9642,0.4,1.0184,0.1192
2026-01-07 20:00:00,C车型,10,9,3,1.0,1.0,-0.6545,0.8243,0.9746,0.0,1.0171,0.1285
2026-01-07 21:00:00,C车型,10,10,2,1.0,1.0,-0.3393,0.8203,0.9687,0.0,1.0451,0.1563
2026-01-07 22:00:00,C车型,10,9,3,1.0,1.0,-0.5783,0.8252,0.9615,0.0,1.0629,0.2589
2026-01-07 23:00:00,C车型,10,9,3,1.0,1.0,-0.8853,0.8576,0.9644,0.0,1.0794,0.3542
2026-01-08 00:00:00,C车型,10,9,1,0.97,1.0,-0.4779,0.86,0.9653,0.0,1.0929,0.3776
2026-01-08 01:00:00,C车型,10,8,3,0.97,0.98,-1.268,0.861,0.9612,0.3,1.106,0.4258
2026-01-08 02:00:00,B车型,15,12,2,0.97,0.98,-1.9173,0.8486,0.9754,1.0,1.1121,0.3176
2026-01-08 03:00:00,B车型,15,13,3,0.97,0.98,-1.6469,0.8638,0.9734,0.4,1.1149,0.2726
2026-01-08 04:00:00,B车型,15,13,3,0.97,0.98,-1.5252,0.8532,0.9745,0.0,1.0829,0.2315
2026-01-08 05:00:00,B车型,15,13,3,0.97,0.98,-1.3773,0.8139,0.9519,0.0,1.0743,0.194
2026-01-08 06:00:00,B车型,15,14,3,0.97,1.0,-0.8966,0.7995,0.9342,0.0,1.0467,0.171
2026-01-08 07:00:00,B车型,15,14,1,0.97,1.0,-0.6147,0.8268,0.916,0.0,1.0263,0.2142
2026-01-08 08:00:00,B车型,15,14,2,1.02,1.0,-1.4387,0.7926,0.8991,0.3,1.0123,0.1897
2026-01-08 09:00:00,C车型,10,7,2,1.02,1.015,-2.9325,0.7871,0.8966,1.0,0.9971,0.1888
2026-01-08 10:00:00,B车型,15,12,2,1.02,1.015,-3.0368,0.7697,0.9203,1.0,0.9941,0.1815
2026-01-08 11:00:00,B车型,15,13,2,1.02,1.015,-2.5397,0.7861,0.9224,0.4,0.99,0.1615
2026-01-08 12:00:00,B车型,15,13,2,1.02,1.0,-2.3316,0.7891,0.9504,0.3,0.9894,0.1039
2026-01-08 13:00:00,C车型,10,7,1,1.02,1.0,-3.204,0.7791,0.9541,1.0,0.9875,0.1448
2026-01-08 14:00:00,C车型,10,8,2,1.02,1.02,-2.8719,0.7697,0.9682,0.4,0.9967,0.0949
2026-01-08 15:00:00,C车型,10,9,3,1.02,1.02,-1.6541,0.7692,0.9627,0.0,1.0019,0.0949
2026-01-08 16:00:00,C车型,10,10,2,1.0,1.02,-0.6012,0.7962,0.9728,0.0,1.0087,0.1089
2026-01-08 17:00:00,C车型,10,9,1,1.0,1.0,-0.7614,0.7882,0.9733,0.3,1.0119,0.1388
2026-01-08 18:00:00,B车型,15,14,2,1.0,1.0,-1.4795,0.7518,0.9696,1.0,0.9971,0.1841
2026-01-08 19:00:00,B车型,15,14,1,1.0,1.0,-1.1953,0.7465,0.9762,0.4,1.0011,0.1707
2026-01-08 20:00:00,B车型,15,15,2,1.0,1.0,-0.3671,0.7241,0.977,0.0,0.9963,0.1346
2026-01-08 21:00:00,B车型,15,15,1,1.0,1.0,0.2664,0.7126,0.9895,0.0,0.9995,0.1604
2026-01-08 22:00:00,B车型,15,16,3,1.0,1.0,0.7742,0.7269,0.9875,0.0,1.0061,0.1501
2026-01-08 23:00:00,B车型,15,15,3,1.0,1.0,0.3854,0.7312,0.9793,0.0,1.02,0.1396
2026-01-09 00:00:00,B车型,15,15,1,0.97,1.0,0.4763,0.759,0.9831,0.0,1.0145,0.1737
2026-01-09 01:00:00,B车型,15,15,3,0.97,0.98,0.2754,0.736,0.996,0.0,1.0056,0.1725
2026-01-09 02:00:00,B车型,15,14,2,0.97,0.98,-0.0976,0.7483,0.9515,0.0,0.9928,0.1732
2026-01-09 03:00:00,B车型,15,14,1,0.97,0.98,-0.2336,0.7427,0.9243,0.3,0.9889,0.1725
2026-01-09 04:00:00,A车型,20,17,1,0.97,0.98,-2.0575,0.7542,0.8893,1.0,0.9978,0.1566
2026-01-09 05:00:00,A车型,20,17,1,0.97,0.98,-2.0939,0.7394,0.8631,0.4,0.9981,0.1712
2026-01-09 06:00:00,A车型,20,18,2,0.97,1.0,-1.5214,0.7606,0.8826,0.0,1.002,0.1643
2026-01-09 07:00:00,A车型,20,18,2,0.97,1.0,-1.3167,0.7521,0.8947,0.3,1.0043,0.2897
2026-01-09 08:00:00,C车型,10,7,1,1.02,1.0,-3.1992,0.7543,0.909,1.0,0.9921,0.3338
2026-01-09 09:00:00,C车型,10,8,1,1.02,1.015,-2.676,0.7676,0.9247,0.4,0.9881,0.3094
2026-01-09 10:00:00,C车型,10,8,1,1.02,1.015,-2.0772,0.7844,0.9303,0.0,0.9792,0.2884
2026-01-09 11:00:00,C车型,10,9,2,1.02,1.015,-1.3118,0.8055,0.9197,0.0,0.9758,0.2931
2026-01-09 12:00:00,C车型,10,9,1,1.02,1.0,-1.1735,0.8443,0.9358,0.0,0.9943,0.2372
2026-01-09 13:00:00,C车型,10,10,1,1.02,1.0,-0.295,0.8408,0.9311,0.0,0.9949,0.1818
2026-01-09 14:00:00,C车型,10,10,1,1.02,1.02,-0.1356,0.8334,0.9326,0.0,0.9763,0.1799
2026-01-09 15:00:00,C车型,10,10,1,1.02,1.02,0.0588,0.8336,0.9408,0.0,0.9834,0.166
2026-01-09 16:00:00,C车型,10,10,1,1.0,1.02,-0.6318,0.8237,0.9359,0.3,0.9656,0.1796
2026-01-09 17:00:00,A车型,20,18,1,1.0,1.0,-1.772,0.8324,0.9328,1.0,0.9505,0.1681
2026-01-09 18:00:00,B车型,15,12,3,1.0,1.0,-2.6768,0.8406,0.947,1.0,0.9501,0.1395
2026-01-09 19:00:00,C车型,10,7,1,1.0,1.0,-3.4726,0.856,0.9366,1.0,0.947,0.2488
2026-01-09 20:00:00,C车型,10,7,1,1.0,1.0,-3.1419,0.8729,0.9579,0.4,0.9665,0.3825
2026-01-09 21:00:00,C车型,10,7,1,1.0,1.0,-2.9594,0.9092,0.9596,0.3,0.9627,0.4701
2026-01-09 22:00:00,A车型,20,16,1,1.0,1.0,-4.1065,0.9145,0.9511,1.0,0.9589,0.5597
2026-01-09 23:00:00,A车型,20,16,1,1.0,1.0,-3.5592,0.9255,0.9598,0.4,0.9501,0.46
2026-01-10 00:00:00,C车型,10,5,2,0.97,1.0,-4.3754,0.9033,0.9639,1.0,0.9564,0.4178
2026-01-10 01:00:00,C车型,10,5,3,0.97,0.98,-4.0143,0.9071,0.9575,0.4,0.9463,0.3658
2026-01-10 02:00:00,C车型,10,7,1,0.97,0.98,-2.5087,0.8764,0.9788,0.0,0.9458,0.2971
2026-01-10 03:00:00,C车型,10,7,1,0.97,0.98,-2.0735,0.892,0.9766,0.3,0.9558,0.2462
2026-01-10 04:00:00,A车型,20,16,3,0.97,0.98,-2.762,0.8634,0.9797,1.0,0.9379,0.1845
2026-01-10 05:00:00,A车型,20,17,3,0.97,0.98,-2.3844,0.854,0.9705,0.4,0.9556,0.1673
2026-01-10 06:00:00,A车型,20,18,2,0.97,1.0,-1.5125,0.8533,0.968,0.0,0.9599,0.124
2026-01-10 07:00:00,A车型,20,18,1,0.97,1.0,-1.1337,0.8253,0.9623,0.0,0.9572,0.0948
2026-01-10 08:00:00,A车型,20,19,3,1.02,1.0,-1.2433,0.8208,0.9516,0.3,0.9786,0.1241
2026-01-10 09:00:00,C车型,10,8,1,1.02,1.015,-1.9293,0.8128,0.9647,1.0,0.9705,0.0901
2026-01-10 10:00:00,C车型,10,8,1,1.02,1.015,-1.9611,0.8014,0.9401,0.4,0.9863,0.0675
2026-01-10 11:00:00,C车型,10,9,1,1.02,1.015,-0.9255,0.797,0.9054,0.3,1.0032,0.0943
2026-01-10 12:00:00,A车型,20,20,1,1.02,1.0,-0.5541,0.7903,0.8877,1.0,1.0233,0.0847
2026-01-10 13:00:00,A车型,20,20,2,1.02,1.0,-0.3032,0.7946,0.8689,0.4,1.0203,0.0521
2026-01-10 14:00:00,A车型,20,21,3,1.02,1.02,0.3503,0.833,0.872,0.0,1.0302,0.0155
2026-01-10 15:00:00,A车型,20,21,1,1.02,1.02,0.0898,0.8436,0.8866,0.0,1.0155,0.0035
2026-01-10 16:00:00,A车型,20,20,1,1.0,1.02,-0.4247,0.853,0.9127,0.0,1.0092,0.0383
2026-01-10 17:00:00,A车型,20,20,2,1.0,1.0,-0.3065,0.8732,0.9214,0.0,0.992,0.0886
2026-01-10 18:00:00,A车型,20,19,2,1.0,1.0,-0.6591,0.8462,0.9276,0.3,0.9731,0.1433
2026-01-10 19:00:00,B车型,15,13,1,1.0,1.0,-2.0992,0.8404,0.9308,1.0,0.9835,0.1404
2026-01-10 20:00:00,A车型,20,18,2,1.0,1.0,-1.9777,0.8601,0.9373,1.0,0.9733,0.128
