model,scope,material,MAE,RMSE,R2,WMAPE
Baseline SH,production_overall,PRODUCTION,0.6522845860186606,0.8398257941264179,0.9414709118742653,5.034169903120865
Baseline SH,production_t+1,PRODUCTION,0.5333202675063968,0.6951737736027818,0.9596625380816735,4.108483352030203
Baseline SH,production_t+2,PRODUCTION,0.7712489045309241,0.9629891761878765,0.9234821174721484,5.963264725754567
State-Only,overall,ALL,0.27999285062402846,0.6069366907395687,0.9960154689734075,4.324213909251405
State-Only,t+1,ALL,0.27865826323539905,0.6038385187561432,0.9960669521251969,4.295704553454491
State-Only,t+2,ALL,0.2813274380126579,0.6100191278953345,0.9959636870473025,4.352828291225505
State-Only,peak,ALL,0.3511685365532137,0.67283060930554,0.995777042418301,4.179393180854342
State-Only,t+1,M001,0.41528667532658403,0.6244457191213949,0.9917661558034785,3.9072671065673226
State-Only,t+2,M001,0.38370214492620636,0.5887248512492111,0.9928251373880943,3.6559641757941623
State-Only,peak,M001,0.4281752525850098,0.6149590158390844,0.9903387396593755,3.4371866606594823
State-Only,t+1,M002,0.16902536527362047,0.4175138369188769,0.9969709017543842,3.997221476065349
State-Only,t+2,M002,0.1771965953316819,0.46091201151802236,0.9963084592616185,4.190460024735721
State-Only,peak,M002,0.19520604917822762,0.43613641463602804,0.9973486261331963,3.269000823558836
State-Only,t+1,M003,0.3070861194211558,0.7551990891963541,0.9975230036197993,3.627001410486092
State-Only,t+2,M003,0.3204651138239134,0.7968228211362998,0.9972424335624481,3.7850210294163
State-Only,peak,M003,0.3937570631405831,0.8425470452475097,0.9975106068078736,3.304915398062448
State-Only,t+1,M004,0.4870476919651482,0.9074238632690786,0.9952346990668941,3.8307121839955474
State-Only,t+2,M004,0.4540916480606762,0.8507945307686996,0.9957924850358277,3.6480201259656466
State-Only,peak,M004,0.6251001447504047,0.9925329396954311,0.9941561209773936,3.9539466987224396
State-Only,t+1,M005,0.23498099995948482,0.4326725154627266,0.9956782084577918,3.693563622117651
State-Only,t+2,M005,0.2227514320387559,0.4239409213843527,0.9958328010433634,3.5762844593378236
State-Only,peak,M005,0.2858413589100571,0.4670996851283377,0.994848861981744,3.607372918937018
State-Only,t+1,M006,0.19085978651187296,0.4963948031633249,0.9841033271987413,7.88987306446719
State-Only,t+2,M006,0.1936317341149915,0.4884052909729617,0.984950153342792,7.730544517898899
State-Only,peak,M006,0.25119282480637434,0.5537019955363478,0.9833174926413437,7.514315271985558
State-Only,t+1,M007,0.1994101361609464,0.4915541716429436,0.9844102087019425,8.27591474185746
State-Only,t+2,M007,0.22383357251318103,0.5049738424054712,0.9839117384020862,8.970429432780156
State-Only,peak,M007,0.2917668576649365,0.5979577930590352,0.9807239585380366,8.728068391686135
State-Only,t+1,M008,0.2255693312643799,0.5326676748818006,0.9951026587212518,4.833628527093855
State-Only,t+2,M008,0.2749472632918571,0.6212146987053625,0.9935024535308004,5.6829650877253926
State-Only,peak,M008,0.3383087413901161,0.6898477871173083,0.9930964282541856,5.239294667546045
State-Only,production_overall,PRODUCTION,0.4885020552923396,0.6222310386853334,0.9678710389747244,3.7701371411757187
State-Only,production_t+1,PRODUCTION,0.4780887421466034,0.6092449223105127,0.9690182713280999,3.683002048818295
State-Only,production_t+2,PRODUCTION,0.4989153684380756,0.6349516167754163,0.9667339375449496,3.8575930549335746
State-Conditioned,overall,ALL,0.2574989391635018,0.5475043147305986,0.9967576079918535,3.976817593258715
State-Conditioned,t+1,ALL,0.24167800887065102,0.5144829115826263,0.9971448461491773,3.7256290594851684
State-Conditioned,t+2,ALL,0.2733198694563526,0.5786443493085438,0.9963682047330257,4.228931485417871
State-Conditioned,peak,ALL,0.32656729310241983,0.6126453960646178,0.9964987462577654,3.886604225078389
State-Conditioned,t+1,M001,0.3511489391142287,0.5274291885348322,0.9941258966876456,3.303820663709141
State-Conditioned,t+2,M001,0.37739428822271676,0.5714306424661362,0.9932404792932585,3.5958620928661755
State-Conditioned,peak,M001,0.4163258028425311,0.5807625642059429,0.9913833457425844,3.342064931075365
State-Conditioned,t+1,M002,0.15134684592867806,0.3827795090081242,0.9974539379988551,3.5791483834484676
State-Conditioned,t+2,M002,0.17168176985089995,0.4422449218616197,0.9966014213662098,4.060041854582094
State-Conditioned,peak,M002,0.193236185392784,0.4092085692247745,0.9976659201324409,3.2360126740418376
State-Conditioned,t+1,M003,0.23453169248709468,0.5691474020827523,0.9985931364669739,2.7700593600837955
State-Conditioned,t+2,M003,0.29341105716898414,0.7039260450484579,0.997847929345984,3.465484927192726
State-Conditioned,peak,M003,0.3468032324612969,0.7132634073471298,0.9982159580359921,2.9108184978765927
State-Conditioned,t+1,M004,0.43456133818842707,0.7706026379266859,0.9965633846744907,3.4178981655269545
State-Conditioned,t+2,M004,0.45298761991990344,0.8370382366544065,0.9959274456845003,3.6391507338630342
State-Conditioned,peak,M004,0.5882893407948346,0.9242000283028731,0.9949330885555318,3.721107276111906
State-Conditioned,t+1,M005,0.20202046478052843,0.3761670550686256,0.9967333191059623,3.1754713775382464
State-Conditioned,t+2,M005,0.22278970176260637,0.4153483670510588,0.9960000130752815,3.5768988815097353
State-Conditioned,peak,M005,0.2574182218295146,0.42695769337952394,0.9956961837158783,3.2486674629926724
State-Conditioned,t+1,M006,0.170807421006178,0.43510010008699046,0.9877867808672031,7.060936695137279
State-Conditioned,t+2,M006,0.17928979621287847,0.4465024949644797,0.9874217814996922,7.157957643479939
State-Conditioned,peak,M006,0.22324084969738595,0.5005857271293325,0.9863646568153397,6.678145076417528
State-Conditioned,t+1,M007,0.1847990836253521,0.4361699557165145,0.9877253526608538,7.669527186032399
State-Conditioned,t+2,M007,0.22050831171423646,0.4848261801941124,0.9851699204236847,8.837165164120163
State-Conditioned,peak,M007,0.2799354594520998,0.5563084971108098,0.9833156927877523,8.374137675917515
State-Conditioned,t+1,M008,0.20420828583472103,0.5040083902949513,0.9956154682680204,4.375891839315451
State-Conditioned,t+2,M008,0.26849641079859543,0.5945087537537459,0.9940491026996616,5.549630538159946
State-Conditioned,peak,M008,0.3072892523489118,0.6266496427579025,0.9943033847983096,4.758904350536245
State-Conditioned,production_overall,PRODUCTION,0.43014316923170615,0.5391939316768141,0.975874110687019,3.319737800024193
State-Conditioned,production_t+1,PRODUCTION,0.38712587745757404,0.48132599853027647,0.9806624944854536,2.9822609782131524
State-Conditioned,production_t+2,PRODUCTION,0.4731604610058382,0.5914266438477674,0.9711383003348424,3.658457172725553
