timestamp,vehicle_type,planned_output,actual_output,priority,shift_factor,hour_factor,production_execution_error
2026-01-02 10:00:00,C车型,10,9,2,1.02,1.015,-1.7425
2026-01-02 11:00:00,C车型,10,9,2,1.02,1.015,-1.0063
2026-01-02 12:00:00,A车型,20,19,3,1.02,1.0,-1.2353
2026-01-02 13:00:00,A车型,20,19,3,1.02,1.0,-1.1598
2026-01-02 14:00:00,B车型,15,14,2,1.02,1.02,-1.3512
2026-01-02 15:00:00,B车型,15,16,3,1.02,1.02,0.4684
2026-01-02 16:00:00,B车型,15,16,1,1.0,1.02,0.3405
2026-01-02 17:00:00,B车型,15,14,1,1.0,1.0,-0.5908
2026-01-02 18:00:00,B车型,15,15,1,1.0,1.0,0.2149
2026-01-02 19:00:00,C车型,10,9,2,1.0,1.0,-0.8155
2026-01-02 20:00:00,C车型,10,10,3,1.0,1.0,-0.4445
2026-01-02 21:00:00,B车型,15,13,1,1.0,1.0,-1.9011
2026-01-02 22:00:00,B车型,15,13,2,1.0,1.0,-2.4884
2026-01-02 23:00:00,C车型,10,8,1,1.0,1.0,-1.7088
2026-01-03 00:00:00,C车型,10,9,1,0.97,1.0,-0.6908
2026-01-03 01:00:00,B车型,15,14,3,0.97,0.98,-0.381
2026-01-03 02:00:00,B车型,15,14,3,0.97,0.98,-0.3783
2026-01-03 03:00:00,B车型,15,14,1,0.97,0.98,-0.5246
2026-01-03 04:00:00,A车型,20,17,3,0.97,0.98,-1.5763
2026-01-03 05:00:00,A车型,20,17,1,0.97,0.98,-1.7581
2026-01-03 06:00:00,B车型,15,13,3,0.97,1.0,-1.6871
2026-01-03 07:00:00,B车型,15,14,3,0.97,1.0,-0.4196
2026-01-03 08:00:00,B车型,15,15,1,1.02,1.0,-0.0398
2026-01-03 09:00:00,B车型,15,14,3,1.02,1.015,-1.4403
2026-01-03 10:00:00,C车型,10,10,3,1.02,1.015,-0.8209
2026-01-03 11:00:00,A车型,20,20,3,1.02,1.015,-0.9238
2026-01-03 12:00:00,C车型,10,9,3,1.02,1.0,-1.2344
2026-01-03 13:00:00,C车型,10,10,2,1.02,1.0,-0.4364
2026-01-03 14:00:00,C车型,10,11,2,1.02,1.02,0.4975
2026-01-03 15:00:00,C车型,10,12,3,1.02,1.02,1.1181
2026-01-03 16:00:00,B车型,15,15,3,1.0,1.02,0.1672
2026-01-03 17:00:00,A车型,20,20,3,1.0,1.0,-0.122
2026-01-03 18:00:00,A车型,20,20,3,1.0,1.0,0.1735
2026-01-03 19:00:00,A车型,20,21,1,1.0,1.0,0.9106
2026-01-03 20:00:00,A车型,20,20,1,1.0,1.0,0.2996
2026-01-03 21:00:00,A车型,20,20,3,1.0,1.0,0.0762
2026-01-03 22:00:00,C车型,10,9,2,1.0,1.0,-0.8279
2026-01-03 23:00:00,C车型,10,8,2,1.0,1.0,-1.5779
2026-01-04 00:00:00,B车型,15,14,1,0.97,1.0,-0.5334
2026-01-04 01:00:00,B车型,15,15,3,0.97,0.98,0.6849
2026-01-04 02:00:00,A车型,20,19,3,0.97,0.98,0.4561
2026-01-04 03:00:00,A车型,20,20,1,0.97,0.98,1.1449
2026-01-04 04:00:00,B车型,15,15,1,0.97,0.98,1.148
2026-01-04 05:00:00,B车型,15,15,3,0.97,0.98,0.3449
2026-01-04 06:00:00,B车型,15,15,3,0.97,1.0,0.5478
2026-01-04 07:00:00,C车型,10,11,1,0.97,1.0,1.6413
2026-01-04 08:00:00,A车型,20,22,3,1.02,1.0,1.2023
2026-01-04 09:00:00,A车型,20,23,3,1.02,1.015,2.1534
2026-01-04 10:00:00,A车型,20,20,2,1.02,1.015,-0.4807
2026-01-04 11:00:00,C车型,10,11,1,1.02,1.015,0.297
2026-01-04 12:00:00,C车型,10,10,1,1.02,1.0,0.2924
2026-01-04 13:00:00,C车型,10,10,3,1.02,1.0,-0.0199
2026-01-04 14:00:00,C车型,10,10,3,1.02,1.02,0.0585
2026-01-04 15:00:00,C车型,10,9,1,1.02,1.02,-1.5462
2026-01-04 16:00:00,A车型,20,19,1,1.0,1.02,-1.3354
2026-01-04 17:00:00,A车型,20,19,1,1.0,1.0,-0.7159
2026-01-04 18:00:00,B车型,15,16,3,1.0,1.0,0.6454
2026-01-04 19:00:00,B车型,15,15,3,1.0,1.0,0.0695
2026-01-04 20:00:00,B车型,15,14,3,1.0,1.0,-0.5947
2026-01-04 21:00:00,B车型,15,14,3,1.0,1.0,-0.8474
2026-01-04 22:00:00,B车型,15,15,1,1.0,1.0,0.0967
2026-01-04 23:00:00,C车型,10,10,1,1.0,1.0,0.3356
2026-01-05 00:00:00,C车型,10,10,3,0.97,1.0,-0.1721
2026-01-05 01:00:00,C车型,10,10,2,0.97,0.98,0.2815
2026-01-05 02:00:00,C车型,10,10,3,0.97,0.98,0.2888
2026-01-05 03:00:00,C车型,10,10,3,0.97,0.98,0.9915
2026-01-05 04:00:00,A车型,20,19,1,0.97,0.98,0.182
2026-01-05 05:00:00,A车型,20,19,2,0.97,0.98,-0.1256
2026-01-05 06:00:00,B车型,15,14,1,0.97,1.0,-0.4079
2026-01-05 07:00:00,B车型,15,13,3,0.97,1.0,-1.4767
2026-01-05 08:00:00,B车型,15,14,2,1.02,1.0,-0.8707
2026-01-05 09:00:00,B车型,15,15,2,1.02,1.015,-0.4442
2026-01-05 10:00:00,B车型,15,15,1,1.02,1.015,-0.329
2026-01-05 11:00:00,B车型,15,15,3,1.02,1.015,-0.4344
2026-01-05 12:00:00,B车型,15,14,3,1.02,1.0,-1.4581
2026-01-05 13:00:00,A车型,20,19,1,1.02,1.0,-1.4301
2026-01-05 14:00:00,B车型,15,14,1,1.02,1.02,-1.3468
2026-01-05 15:00:00,B车型,15,14,2,1.02,1.02,-1.6519
2026-01-05 16:00:00,B车型,15,14,2,1.0,1.02,-1.3679
2026-01-05 17:00:00,A车型,20,19,2,1.0,1.0,-0.7027
2026-01-05 18:00:00,A车型,20,21,2,1.0,1.0,0.9819
2026-01-05 19:00:00,A车型,20,21,2,1.0,1.0,0.8761
2026-01-05 20:00:00,A车型,20,21,3,1.0,1.0,0.8631
2026-01-05 21:00:00,C车型,10,11,1,1.0,1.0,0.5878
2026-01-05 22:00:00,C车型,10,9,1,1.0,1.0,-1.0942
2026-01-05 23:00:00,A车型,20,19,3,1.0,1.0,-0.8418
2026-01-06 00:00:00,A车型,20,19,1,0.97,1.0,-0.5832
2026-01-06 01:00:00,A车型,20,21,3,0.97,0.98,1.5332
2026-01-06 02:00:00,B车型,15,15,1,0.97,0.98,0.996
2026-01-06 03:00:00,A车型,20,20,1,0.97,0.98,0.9882
2026-01-06 04:00:00,A车型,20,20,1,0.97,0.98,0.7134
2026-01-06 05:00:00,A车型,20,19,1,0.97,0.98,-0.3999
2026-01-06 06:00:00,A车型,20,20,3,0.97,1.0,0.6143
2026-01-06 07:00:00,A车型,20,20,3,0.97,1.0,1.0623
2026-01-06 08:00:00,A车型,20,22,1,1.02,1.0,1.4296
2026-01-06 09:00:00,A车型,20,21,3,1.02,1.015,0.3447
2026-01-06 10:00:00,A车型,20,22,2,1.02,1.015,1.3807
2026-01-06 11:00:00,B车型,15,15,3,1.02,1.015,-0.0859
2026-01-06 12:00:00,A车型,20,21,2,1.02,1.0,0.405
2026-01-06 13:00:00,A车型,20,22,3,1.02,1.0,2.0561
2026-01-06 14:00:00,A车型,20,22,2,1.02,1.02,0.7497
2026-01-06 15:00:00,A车型,20,21,1,1.02,1.02,0.1092
2026-01-06 16:00:00,A车型,20,21,3,1.0,1.02,0.1616
2026-01-06 17:00:00,B车型,15,15,1,1.0,1.0,-0.2816
2026-01-06 18:00:00,B车型,15,14,3,1.0,1.0,-1.4517
2026-01-06 19:00:00,B车型,15,14,2,1.0,1.0,-1.0339
2026-01-06 20:00:00,A车型,20,18,2,1.0,1.0,-1.6253
2026-01-06 21:00:00,A车型,20,19,2,1.0,1.0,-0.8401
2026-01-06 22:00:00,C车型,10,9,3,1.0,1.0,-1.3656
2026-01-06 23:00:00,A车型,20,20,3,1.0,1.0,0.2157
2026-01-07 00:00:00,C车型,10,9,3,0.97,1.0,-0.4648
2026-01-07 01:00:00,C车型,10,9,1,0.97,0.98,-0.6062
2026-01-07 02:00:00,C车型,10,10,1,0.97,0.98,0.1961
2026-01-07 03:00:00,A车型,20,18,2,0.97,0.98,-0.8376
2026-01-07 04:00:00,A车型,20,19,1,0.97,0.98,-0.4462
2026-01-07 05:00:00,B车型,15,15,3,0.97,0.98,0.711
2026-01-07 06:00:00,B车型,15,14,2,0.97,1.0,-0.7527
2026-01-07 07:00:00,B车型,15,14,2,0.97,1.0,-0.4168
2026-01-07 08:00:00,A车型,20,20,1,1.02,1.0,-0.1047
2026-01-07 09:00:00,A车型,20,21,2,1.02,1.015,0.5469
2026-01-07 10:00:00,A车型,20,20,2,1.02,1.015,-0.5794
2026-01-07 11:00:00,C车型,10,9,1,1.02,1.015,-1.4909
2026-01-07 12:00:00,B车型,15,15,3,1.02,1.0,-0.7006
2026-01-07 13:00:00,B车型,15,15,1,1.02,1.0,-0.2879
2026-01-07 14:00:00,A车型,20,21,3,1.02,1.02,-0.0155
2026-01-07 15:00:00,A车型,20,21,2,1.02,1.02,0.2655
2026-01-07 16:00:00,A车型,20,20,1,1.0,1.02,-0.3449
2026-01-07 17:00:00,A车型,20,20,1,1.0,1.0,-0.0729
2026-01-07 18:00:00,A车型,20,20,1,1.0,1.0,0.1798
2026-01-07 19:00:00,B车型,15,15,3,1.0,1.0,-0.4366
2026-01-07 20:00:00,B车型,15,16,1,1.0,1.0,1.1652
2026-01-07 21:00:00,B车型,15,16,3,1.0,1.0,1.2529
2026-01-07 22:00:00,C车型,10,10,3,1.0,1.0,-0.0133
2026-01-07 23:00:00,A车型,20,21,1,1.0,1.0,0.5152
2026-01-08 00:00:00,B车型,15,14,2,0.97,1.0,-0.3933
2026-01-08 01:00:00,B车型,15,15,3,0.97,0.98,0.3347
2026-01-08 02:00:00,C车型,10,11,3,0.97,0.98,1.1779
2026-01-08 03:00:00,A车型,20,19,2,0.97,0.98,0.2269
2026-01-08 04:00:00,A车型,20,20,3,0.97,0.98,0.9409
2026-01-08 05:00:00,A车型,20,20,1,0.97,0.98,1.0359
2026-01-08 06:00:00,B车型,15,16,1,0.97,1.0,1.4345
2026-01-08 07:00:00,C车型,10,12,2,0.97,1.0,2.5933
2026-01-08 08:00:00,C车型,10,12,1,1.02,1.0,1.7487
2026-01-08 09:00:00,C车型,10,11,3,1.02,1.015,0.7085
2026-01-08 10:00:00,C车型,10,10,2,1.02,1.015,-0.1802
2026-01-08 11:00:00,C车型,10,10,1,1.02,1.015,-0.7878
2026-01-08 12:00:00,B车型,15,15,2,1.02,1.0,-0.6525
2026-01-08 13:00:00,B车型,15,15,2,1.02,1.0,-0.2165
2026-01-08 14:00:00,B车型,15,16,3,1.02,1.02,0.059
2026-01-08 15:00:00,B车型,15,16,1,1.02,1.02,0.706
2026-01-08 16:00:00,B车型,15,16,2,1.0,1.02,0.5399
2026-01-08 17:00:00,B车型,15,17,2,1.0,1.0,1.5677
2026-01-08 18:00:00,B车型,15,16,3,1.0,1.0,0.9641
2026-01-08 19:00:00,B车型,15,18,3,1.0,1.0,2.8992
2026-01-08 20:00:00,C车型,10,13,3,1.0,1.0,2.6749
2026-01-08 21:00:00,A车型,20,21,2,1.0,1.0,1.3205
2026-01-08 22:00:00,B车型,15,15,2,1.0,1.0,0.1336
2026-01-08 23:00:00,B车型,15,15,2,1.0,1.0,0.4862
2026-01-09 00:00:00,B车型,15,15,3,0.97,1.0,0.1859
2026-01-09 01:00:00,B车型,15,15,3,0.97,0.98,0.7106
2026-01-09 02:00:00,A车型,20,20,2,0.97,0.98,0.9116
2026-01-09 03:00:00,A车型,20,20,3,0.97,0.98,0.6254
2026-01-09 04:00:00,C车型,10,9,3,0.97,0.98,-0.2084
2026-01-09 05:00:00,B车型,15,13,3,0.97,0.98,-1.3682
2026-01-09 06:00:00,B车型,15,13,2,0.97,1.0,-1.3833
2026-01-09 07:00:00,B车型,15,14,3,0.97,1.0,-0.3524
2026-01-09 08:00:00,B车型,15,15,1,1.02,1.0,-0.093
2026-01-09 09:00:00,B车型,15,14,3,1.02,1.015,-1.0664
2026-01-09 10:00:00,A车型,20,20,3,1.02,1.015,-0.6612
2026-01-09 11:00:00,A车型,20,21,2,1.02,1.015,-0.1877
2026-01-09 12:00:00,A车型,20,20,1,1.02,1.0,-0.8478
2026-01-09 13:00:00,A车型,20,20,1,1.02,1.0,-0.5129
2026-01-09 14:00:00,A车型,20,20,3,1.02,1.02,-0.3381
2026-01-09 15:00:00,A车型,20,20,2,1.02,1.02,-1.168
2026-01-09 16:00:00,A车型,20,20,2,1.0,1.02,-0.5897
2026-01-09 17:00:00,A车型,20,20,3,1.0,1.0,0.0063
2026-01-09 18:00:00,A车型,20,21,3,1.0,1.0,0.8712
2026-01-09 19:00:00,A车型,20,21,1,1.0,1.0,1.4964
2026-01-09 20:00:00,A车型,20,20,3,1.0,1.0,0.0202
2026-01-09 21:00:00,A车型,20,19,2,1.0,1.0,-0.7351
2026-01-09 22:00:00,A车型,20,20,1,1.0,1.0,-0.1393
2026-01-09 23:00:00,A车型,20,20,1,1.0,1.0,0.3065
2026-01-10 00:00:00,B车型,15,15,1,0.97,1.0,0.6419
2026-01-10 01:00:00,B车型,15,18,2,0.97,0.98,3.5636
2026-01-10 02:00:00,B车型,15,17,1,0.97,0.98,3.1294
2026-01-10 03:00:00,B车型,15,18,3,0.97,0.98,3.2555
2026-01-10 04:00:00,B车型,15,17,3,0.97,0.98,3.2049
2026-01-10 05:00:00,B车型,15,17,2,0.97,0.98,2.9248
2026-01-10 06:00:00,B车型,15,16,1,0.97,1.0,1.9414
2026-01-10 07:00:00,B车型,15,17,1,0.97,1.0,2.0632
2026-01-10 08:00:00,A车型,20,21,2,1.02,1.0,0.9291
2026-01-10 09:00:00,A车型,20,21,3,1.02,1.015,0.5074
2026-01-10 10:00:00,A车型,20,21,1,1.02,1.015,-0.0077
2026-01-10 11:00:00,A车型,20,21,1,1.02,1.015,0.0597
2026-01-10 12:00:00,A车型,20,22,2,1.02,1.0,1.8965
2026-01-10 13:00:00,A车型,20,20,3,1.02,1.0,-0.0714
2026-01-10 14:00:00,A车型,20,21,2,1.02,1.02,0.4954
2026-01-10 15:00:00,A车型,20,20,3,1.02,1.02,-0.9186
2026-01-10 16:00:00,C车型,10,9,3,1.0,1.02,-1.0665
2026-01-10 17:00:00,C车型,10,10,1,1.0,1.0,0.0713
2026-01-10 18:00:00,B车型,15,15,2,1.0,1.0,0.1049
2026-01-10 19:00:00,B车型,15,14,1,1.0,1.0,-0.7835
2026-01-10 20:00:00,C车型,10,9,3,1.0,1.0,-1.1599
2026-01-10 21:00:00,C车型,10,10,1,1.0,1.0,-0.3262
2026-01-10 22:00:00,C车型,10,9,1,1.0,1.0,-0.829
2026-01-10 23:00:00,A车型,20,20,2,1.0,1.0,-0.4486
2026-01-11 00:00:00,A车型,20,19,3,0.97,1.0,-0.3
2026-01-11 01:00:00,A车型,20,18,1,0.97,0.98,-0.7463
2026-01-11 02:00:00,A车型,20,20,3,0.97,0.98,1.1555
2026-01-11 03:00:00,A车型,20,20,1,0.97,0.98,1.3737
2026-01-11 04:00:00,A车型,20,18,2,0.97,0.98,-0.5898
2026-01-11 05:00:00,A车型,20,19,2,0.97,0.98,-0.2932
2026-01-11 06:00:00,A车型,20,19,1,0.97,1.0,-0.7493
2026-01-11 07:00:00,C车型,10,10,3,0.97,1.0,0.12
2026-01-11 08:00:00,A车型,20,20,3,1.02,1.0,-0.5441
2026-01-11 09:00:00,A车型,20,20,1,1.02,1.015,-0.4998
2026-01-11 10:00:00,C车型,10,10,2,1.02,1.015,0.0291
2026-01-11 11:00:00,B车型,15,16,3,1.02,1.015,0.7144
2026-01-11 12:00:00,A车型,20,20,2,1.02,1.0,-0.4244
2026-01-11 13:00:00,A车型,20,20,2,1.02,1.0,-0.5859
2026-01-11 14:00:00,A车型,20,20,2,1.02,1.02,-0.8194
2026-01-11 15:00:00,A车型,20,20,3,1.02,1.02,-1.1372
2026-01-11 16:00:00,B车型,15,16,2,1.0,1.02,0.5595
2026-01-11 17:00:00,A车型,20,21,2,1.0,1.0,0.7436
2026-01-11 18:00:00,A车型,20,20,3,1.0,1.0,-0.451
2026-01-11 19:00:00,A车型,20,20,3,1.0,1.0,0.396
2026-01-11 20:00:00,A车型,20,22,2,1.0,1.0,1.9947
2026-01-11 21:00:00,A车型,20,22,2,1.0,1.0,2.322
2026-01-11 22:00:00,A车型,20,21,1,1.0,1.0,0.526
2026-01-11 23:00:00,A车型,20,20,2,1.0,1.0,0.0071
2026-01-12 00:00:00,C车型,10,11,2,0.97,1.0,1.0189
2026-01-12 01:00:00,B车型,15,14,2,0.97,0.98,0.198
2026-01-12 02:00:00,C车型,10,10,1,0.97,0.98,0.5036
2026-01-12 03:00:00,A车型,20,20,2,0.97,0.98,0.9974
2026-01-12 04:00:00,A车型,20,19,1,0.97,0.98,0.0065
2026-01-12 05:00:00,B车型,15,14,1,0.97,0.98,-0.0427
2026-01-12 06:00:00,A车型,20,17,1,0.97,1.0,-2.6251
2026-01-12 07:00:00,A车型,20,17,1,0.97,1.0,-2.7883
2026-01-12 08:00:00,A车型,20,18,3,1.02,1.0,-2.2933
2026-01-12 09:00:00,A车型,20,18,1,1.02,1.015,-2.7182
2026-01-12 10:00:00,A车型,20,20,2,1.02,1.015,-0.7327
2026-01-12 11:00:00,B车型,15,14,3,1.02,1.015,-1.6937
2026-01-12 12:00:00,B车型,15,14,3,1.02,1.0,-1.6223
2026-01-12 13:00:00,A车型,20,19,2,1.02,1.0,-1.1121
2026-01-12 14:00:00,A车型,20,21,1,1.02,1.02,0.3189
2026-01-12 15:00:00,C车型,10,9,2,1.02,1.02,-0.9095
2026-01-12 16:00:00,A车型,20,21,1,1.0,1.02,0.2484
2026-01-12 17:00:00,A车型,20,20,3,1.0,1.0,0.1945
2026-01-12 18:00:00,A车型,20,19,3,1.0,1.0,-0.6393
2026-01-12 19:00:00,B车型,15,15,3,1.0,1.0,-0.1098
2026-01-12 20:00:00,C车型,10,10,3,1.0,1.0,0.0769
2026-01-12 21:00:00,C车型,10,10,2,1.0,1.0,-0.4225
2026-01-12 22:00:00,C车型,10,10,3,1.0,1.0,-0.261
2026-01-12 23:00:00,C车型,10,9,2,1.0,1.0,-0.504
2026-01-13 00:00:00,A车型,20,19,2,0.97,1.0,-0.2872
2026-01-13 01:00:00,C车型,10,10,3,0.97,0.98,0.3143
2026-01-13 02:00:00,C车型,10,11,1,0.97,0.98,1.5045
2026-01-13 03:00:00,B车型,15,14,3,0.97,0.98,0.1381
2026-01-13 04:00:00,C车型,10,11,2,0.97,0.98,1.81
2026-01-13 05:00:00,C车型,10,9,3,0.97,0.98,-0.2041
2026-01-13 06:00:00,C车型,10,9,2,0.97,1.0,-0.2745
2026-01-13 07:00:00,A车型,20,20,2,0.97,1.0,0.2648
2026-01-13 08:00:00,B车型,15,16,2,1.02,1.0,0.4234
2026-01-13 09:00:00,B车型,15,15,3,1.02,1.015,-0.1806
2026-01-13 10:00:00,B车型,15,15,1,1.02,1.015,-0.302
2026-01-13 11:00:00,B车型,15,15,2,1.02,1.015,-0.6209
2026-01-13 12:00:00,B车型,15,14,1,1.02,1.0,-0.9372
2026-01-13 13:00:00,B车型,15,15,2,1.02,1.0,-0.0232
2026-01-13 14:00:00,B车型,15,16,3,1.02,1.02,0.2682
2026-01-13 15:00:00,C车型,10,10,3,1.02,1.02,-0.3532
2026-01-13 16:00:00,C车型,10,11,1,1.0,1.02,0.4548
2026-01-13 17:00:00,C车型,10,11,3,1.0,1.0,0.5869
2026-01-13 18:00:00,C车型,10,11,3,1.0,1.0,1.0905
2026-01-13 19:00:00,B车型,15,16,3,1.0,1.0,1.3216
2026-01-13 20:00:00,C车型,10,10,1,1.0,1.0,0.328
2026-01-13 21:00:00,C车型,10,10,1,1.0,1.0,-0.2022
2026-01-13 22:00:00,C车型,10,10,1,1.0,1.0,0.4462
2026-01-13 23:00:00,C车型,10,11,3,1.0,1.0,0.823
2026-01-14 00:00:00,C车型,10,10,3,0.97,1.0,0.6005
2026-01-14 01:00:00,C车型,10,10,2,0.97,0.98,0.5442
2026-01-14 02:00:00,B车型,15,16,2,0.97,0.98,1.4303
2026-01-14 03:00:00,C车型,10,10,2,0.97,0.98,0.5995
2026-01-14 04:00:00,C车型,10,10,1,0.97,0.98,0.8873
2026-01-14 05:00:00,B车型,15,15,1,0.97,0.98,0.5037
2026-01-14 06:00:00,A车型,20,20,1,0.97,1.0,0.2036
2026-01-14 07:00:00,A车型,20,20,2,0.97,1.0,1.0317
2026-01-14 08:00:00,A车型,20,22,3,1.02,1.0,1.4341
2026-01-14 09:00:00,C车型,10,12,1,1.02,1.015,1.7264
2026-01-14 10:00:00,B车型,15,18,1,1.02,1.015,2.3392
2026-01-14 11:00:00,B车型,15,17,2,1.02,1.015,1.7712
2026-01-14 12:00:00,B车型,15,17,3,1.02,1.0,1.874
2026-01-14 13:00:00,B车型,15,16,1,1.02,1.0,1.1573
2026-01-14 14:00:00,C车型,10,12,3,1.02,1.02,1.1273
2026-01-14 15:00:00,B车型,15,16,1,1.02,1.02,0.7413
2026-01-14 16:00:00,C车型,10,11,2,1.0,1.02,0.6336
2026-01-14 17:00:00,C车型,10,11,2,1.0,1.0,0.9513
2026-01-14 18:00:00,C车型,10,10,1,1.0,1.0,0.0589
2026-01-14 19:00:00,C车型,10,12,2,1.0,1.0,1.7181
2026-01-14 20:00:00,C车型,10,10,1,1.0,1.0,0.4838
2026-01-14 21:00:00,C车型,10,9,1,1.0,1.0,-0.6085
2026-01-14 22:00:00,C车型,10,10,3,1.0,1.0,0.4701
2026-01-14 23:00:00,C车型,10,11,1,1.0,1.0,0.9859
2026-01-15 00:00:00,B车型,15,16,1,0.97,1.0,1.2387
2026-01-15 01:00:00,A车型,20,20,3,0.97,0.98,1.4317
2026-01-15 02:00:00,B车型,15,15,3,0.97,0.98,1.064
2026-01-15 03:00:00,B车型,15,14,2,0.97,0.98,0.0802
2026-01-15 04:00:00,B车型,15,14,3,0.97,0.98,0.1208
2026-01-15 05:00:00,C车型,10,9,3,0.97,0.98,-0.4511
2026-01-15 06:00:00,C车型,10,10,3,0.97,1.0,0.4417
2026-01-15 07:00:00,A车型,20,20,1,0.97,1.0,0.2137
2026-01-15 08:00:00,A车型,20,20,2,1.02,1.0,-0.5002
2026-01-15 09:00:00,A车型,20,20,1,1.02,1.015,-0.6322
2026-01-15 10:00:00,A车型,20,21,3,1.02,1.015,-0.1438
2026-01-15 11:00:00,A车型,20,20,1,1.02,1.015,-0.5588
2026-01-15 12:00:00,A车型,20,19,3,1.02,1.0,-1.0769
2026-01-15 13:00:00,A车型,20,20,2,1.02,1.0,-0.6127
2026-01-15 14:00:00,A车型,20,21,2,1.02,1.02,-0.2636
2026-01-15 15:00:00,C车型,10,10,1,1.02,1.02,-0.6032
2026-01-15 16:00:00,C车型,10,9,2,1.0,1.02,-0.8293
2026-01-15 17:00:00,A车型,20,20,2,1.0,1.0,-0.4363
2026-01-15 18:00:00,A车型,20,19,1,1.0,1.0,-1.4857
2026-01-15 19:00:00,A车型,20,18,2,1.0,1.0,-2.2402
2026-01-15 20:00:00,B车型,15,13,1,1.0,1.0,-2.2549
2026-01-15 21:00:00,B车型,15,13,2,1.0,1.0,-1.862
2026-01-15 22:00:00,B车型,15,14,3,1.0,1.0,-1.1477
2026-01-15 23:00:00,C车型,10,10,1,1.0,1.0,0.3195
2026-01-16 00:00:00,C车型,10,11,2,0.97,1.0,0.9257
2026-01-16 01:00:00,C车型,10,10,2,0.97,0.98,0.5664
2026-01-16 02:00:00,C车型,10,10,2,0.97,0.98,0.4095
2026-01-16 03:00:00,C车型,10,9,3,0.97,0.98,-0.4949
2026-01-16 04:00:00,C车型,10,9,2,0.97,0.98,-0.386
2026-01-16 05:00:00,B车型,15,14,1,0.97,0.98,-0.5204
2026-01-16 06:00:00,B车型,15,14,3,0.97,1.0,-0.1321
2026-01-16 07:00:00,A车型,20,19,3,0.97,1.0,-0.7609
2026-01-16 08:00:00,B车型,15,15,1,1.02,1.0,-0.1552
2026-01-16 09:00:00,B车型,15,17,3,1.02,1.015,1.1098
2026-01-16 10:00:00,B车型,15,16,2,1.02,1.015,0.7453
2026-01-16 11:00:00,B车型,15,16,3,1.02,1.015,0.8804
2026-01-16 12:00:00,B车型,15,17,2,1.02,1.0,1.2124
2026-01-16 13:00:00,C车型,10,11,2,1.02,1.0,0.5883
2026-01-16 14:00:00,C车型,10,11,2,1.02,1.02,0.6205
2026-01-16 15:00:00,C车型,10,11,1,1.02,1.02,0.4755
2026-01-16 16:00:00,C车型,10,11,3,1.0,1.02,0.4347
2026-01-16 17:00:00,C车型,10,10,3,1.0,1.0,-0.2924
2026-01-16 18:00:00,A车型,20,20,2,1.0,1.0,-0.1997
2026-01-16 19:00:00,A车型,20,20,2,1.0,1.0,0.2487
2026-01-16 20:00:00,A车型,20,21,2,1.0,1.0,1.3474
2026-01-16 21:00:00,B车型,15,17,3,1.0,1.0,1.778
2026-01-16 22:00:00,C车型,10,13,2,1.0,1.0,3.056
2026-01-16 23:00:00,C车型,10,12,3,1.0,1.0,1.6781
2026-01-17 00:00:00,C车型,10,12,2,0.97,1.0,1.9565
2026-01-17 01:00:00,C车型,10,11,1,0.97,0.98,1.614
2026-01-17 02:00:00,C车型,10,12,3,0.97,0.98,2.9624
2026-01-17 03:00:00,C车型,10,11,2,0.97,0.98,1.5751
2026-01-17 04:00:00,C车型,10,10,3,0.97,0.98,0.5096
2026-01-17 05:00:00,C车型,10,9,1,0.97,0.98,-0.0973
